title,company,location,published,applicants,url,description
Front-end Developer,Viseven,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 día,134 solicitudes,https://ar.linkedin.com/jobs/view/front-end-developer-at-viseven-4148153850?position=1&pageNum=0&refId=BP%2F0Qvw1Qo757y885i0tGQ%3D%3D&trackingId=39dYqsSBK9VRgo6cC2x4NQ%3D%3D,Viseven Group is an international IT company specialising in interactive content and cloud-based solutions for global pharmaceutical companies since 2009; constant growth and self-development is in our corporate DNA. Our unique developments and approaches are actively used in more than 50 countries all over the world. Viseven's solutions are represented at major industry events in Barcelona| Philadelphia| London| etc. The rapidly expanding team includes more than 700+ highly-skilled tech- and non-technical experts: front- and back-end developers| BA specialists and managers who create| localize and customize applications at 8 offices: in Kyiv| Zhytomyr| Vinnytsia| Ternopil (Ukraine)| Tallinn (Estonia)| New Delhi (India) and Bridgewater (NJ| USA). Viseven Team is looking for a Junior Front-end Developer. Main direction is the Digital content development: emails| landings| web sites. The main duty of this role is to produce WEB content according to customer requirements with meeting time| budget and quality expectations. We understand that our team members are essential to making our goals a reality| so we value and empower them to share their vision. And we reward this kind of passion with a highly competitive compensation and exceptional benefits| such as:
Remote Junior Web Developer,Scopic,Buenos Aires y alrededores,Hace 6 días,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/remote-junior-web-developer-at-scopic-4145254091?position=2&pageNum=0&refId=BP%2F0Qvw1Qo757y885i0tGQ%3D%3D&trackingId=vUAzyR1XFwYmHqoU9NIwEQ%3D%3D,Are you on the hunt for exciting new challenges that boost your professional growth? If you're an innovator by nature and have a passion for development| we'd love to hear from you! Read on to see if you'd be a good fit for the Scopic team of 250+ professionals from over 60 countries. At Scopic| the virtual world is our home so this is a fully remote position. Only apply if you're prepared for the zero-hour commute and the thought of collaborating with colleagues from around the globe excites you! 1+ year of software development experience Some experience with full-stack development Significant fluency in one or more back-end languages (PHP| Node.js| Python| C#) Proficiency in JavaScript programming Experience with one or more frameworks (e.g. Laravel| Django| React| Angular) Some skills with HTML| CSS and HTML slicing Some DB programming experience (SQL| NoSQL) - ORM experience a plus Intermediate written and spoken English Stable internet connection and home computer Bachelor's degree or higher Your growth is our growth. We invest in your future with paid training and other professional opportunities. We're industry innovators at the forefront of change. Equipped with the latest technologies and a team of knowledgeable colleagues by your side| you'll embrace new and interesting challenges. Your location. Your schedule. Pick your time-zone| choose your preferred hours| and work from the place where you feel most at home. Flexibility and freedom are in our DNA! As long as you have a stable internet connection and the drive to thrive| you can travel and work from anywhere you like. A workload you can rely on. We'll set you enough tasks to keep that mind busy! At Scopic| we'll ensure you always have a consistent flow of engaging| challenging work to do. Recognition and reward. We acknowledge diligence and hard work through annual pay increases for good performance. Down to business! Your starting rate is negotiable depending on your skills and experience. This is an hourly position. Scopic offers equal opportunity. We value diversity and do not discriminate based on race| religion| color| marital status| national origin| gender| veteran status| sexual orientation| age| or disability status. Have the skills| the drive| and the passion to join the Scopic family? Apply today to join our growing team of remote professionals from around the world. TERMS OF APPLICATION By submitting an application; I consent that the data provided in this form| and the attached CV| will be used for Scopic's recruiting purposes and email communications. I consent to Scopic conducting an identity verification process as part of the hiring process. I understand that my personal information may be collected and processed for the purpose of verifying my identity in compliance with applicable laws. Attention Job Seekers:Please be aware that scammers may be fraudulently using our company's name in hiring scams. To ensure your safety| all legitimate communication regarding job opportunities from our company will only come from email addresses ending withscopicsoftware.com. Please exercise caution and report any suspicious activity to our official channels. Employment Type: Full-Time
Developer Frontend,IOL Inversiones,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/developer-frontend-at-iol-inversiones-4117928924?position=3&pageNum=0&refId=BP%2F0Qvw1Qo757y885i0tGQ%3D%3D&trackingId=PK08fG88dfZHAiIx55QypQ%3D%3D,¡IOLer se busca! En IOL invertironline queremos facilitarle a las personas el acceso a herramientas que le permitan aumentar el valor de sus ingresos y para ello estaremos sumando un al Team de IT. de la posición es implementar los requisitos del equipo de producto y brindar apoyo al equipo de UX para mejorar el rendimiento del producto. Es hora de maximizar el valor de tu dinero. Es hora de invertir los roles.
Front-end Developer,Viseven,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 día,134 solicitudes,https://ar.linkedin.com/jobs/view/front-end-developer-at-viseven-4148153850?position=1&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=4X5xGp6FRWowt%2F3l9YPnxw%3D%3D,Viseven Group is an international IT company specialising in interactive content and cloud-based solutions for global pharmaceutical companies since 2009; constant growth and self-development is in our corporate DNA. Our unique developments and approaches are actively used in more than 50 countries all over the world. Viseven's solutions are represented at major industry events in Barcelona| Philadelphia| London| etc. The rapidly expanding team includes more than 700+ highly-skilled tech- and non-technical experts: front- and back-end developers| BA specialists and managers who create| localize and customize applications at 8 offices: in Kyiv| Zhytomyr| Vinnytsia| Ternopil (Ukraine)| Tallinn (Estonia)| New Delhi (India) and Bridgewater (NJ| USA). Viseven Team is looking for a Junior Front-end Developer. Main direction is the Digital content development: emails| landings| web sites. The main duty of this role is to produce WEB content according to customer requirements with meeting time| budget and quality expectations. We understand that our team members are essential to making our goals a reality| so we value and empower them to share their vision. And we reward this kind of passion with a highly competitive compensation and exceptional benefits| such as:
Developer Frontend,IOL Inversiones,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/developer-frontend-at-iol-inversiones-4117928924?position=2&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=XBvedxLb8J%2FAEbOrnqn1sw%3D%3D,¡IOLer se busca! En IOL invertironline queremos facilitarle a las personas el acceso a herramientas que le permitan aumentar el valor de sus ingresos y para ello estaremos sumando un Developer FrontEnd al Team de IT. de la posición es implementar los requisitos del equipo de producto y brindar apoyo al equipo de UX para mejorar el rendimiento del producto. Es hora de maximizar el valor de tu dinero. Es hora de invertir los roles.
Developer Frontend,IOL Inversiones,Buenos Aires y alrededores,Hace 1 mes,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/developer-frontend-at-iol-inversiones-4117992393?position=3&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=yPmSTBCv3ORNuF0%2BHrAGPA%3D%3D,¡IOLer se busca! 📢 En IOL invertironline queremos facilitarle a las personas el acceso a herramientas que le permitan aumentar el valor de sus ingresos y para ello estaremos sumando un Developer FrontEnd al Team de IT. de la posición es implementar los requisitos del equipo de producto y brindar apoyo al equipo de UX para mejorar el rendimiento del producto. Es hora de maximizar el valor de tu dinero. Es hora de invertir los roles. 🚀
Junior React Developer,Making Sense LLC,Argentina,Hace 1 semana,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/junior-react-developer-at-making-sense-llc-4142654202?position=4&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=J36CCFVcUQ6lK%2BnG2FPD8Q%3D%3D,Descripción del puesto Mission Perform tasks in all phases of the development cycle with technical supervision. Appropriately assess problematic situations to gain adequate understanding of problems involved and assumes the responsibility of delivering tasks on time and in scope within the team’s plan. Learn technologies involved in the project. Attend conference calls and exchange e-mails with clients Suggest changes in client environment to achieve project objectives. Perform coding tasks Design and code complete small software modules. Perform code reviews. Report progress of tasks to team lead Write project documentation Requisitos Beneficios
Front-end Developer,Winona,Argentina,Hace 3 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/front-end-developer-at-winona-4064937446?position=5&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=YL0imCIqSqmI%2BU9KA390%2FA%3D%3D,About Winona: Winona is one of the leading telemedicine companies providing HRT for women in menopause. We’ve built all of our technology in house including an EHR| patient care admin system| patient portal| website| marketing technology etc. Winona has two compounding pharmacies and a team of in house physicians providing world-class care via a fully vertically integrated business model. We're looking to hire a full-time| remote . For this role| your primary focus will be collaborating with a team of developers in creating and implementing software applications and components. You’ll have the opportunity to choose your hours and work and learn with a team of world-class engineers and designers through a commitment to team collaboration| communication| and product quality. Mid-level : As a full-time member of our team| you’ll enjoy:
Frontend Developer,DEUNA,Buenos Aires y alrededores,Hace 5 meses,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/frontend-developer-at-deuna-4017928446?position=6&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=0yrUaeUmABNAvjeGJqzm%2FA%3D%3D,About us: DEUNA| a rapidly growing SaaS startup| is revolutionizing the e-commerce landscape in LATAM by solving the most pressing challenges faced by businesses today:customer conversion| payment acceptance| and fraud prevention with a single integration. With a recently announced $30M USD Series A funding| we operate in 5 LATAM countries and are on the lookout for exceptional talent to join our team and continue driving our success. Visit https://www.deuna.com/ to learn more about us! We are seeking an experienced and skilled Senior Frontend Developer to join our dynamic team. As a Frontend Developer| you will play a crucial role in the design| development| and implementation of cutting-edge developments. The ideal candidate should have a strong background in frontend technologies| ideally leadership experience| and a deep understanding of software development best practices. Proficient in integration| end-to-end (E2E) testing| and visual regression testing. Experience with AWS services such as Appsync| Lambda| Cloudfront| S3| and unit testing. Hands-on experience with Continuous Integration/Continuous Deployment (CI/CD) pipelines. Familiarity with DevOps practices for efficient and automated software development processes. Strong knowledge of design patterns and a commitment to writing clean| maintainable code. Adherence to best practices in software development and a focus on producing high-quality code. Over 3 years of solid experience in developing web applications using React and Typescript. Proven track record in building scalable and performant front-end solutions. In-depth knowledge of software development best practices and the design of scalable architectures. Experience in implementing high-quality| high-performance solutions. Outstanding communication skills. Familiarity with agile methodologies and collaborative development approaches. Proficient in version control tools| build systems| and continuous deployment. Strong operational quality management skills. Bachelor's or Master's degree in Computer Science or a related field. Proven track record with a minimum of 3 years of experience in frontend development. If you are a talented Frontend Developer with a passion for delivering high-quality solutions| we encourage you to apply. Join our team and be a key player in shaping the future of our innovative projects. A multicultural team distributed throughout LATAM Dynamism| agility and constant innovation Being part of a high-impact solution for an entire region The best tools and technology to operate Being part of the startup culture. We are in full expansion! Incredible team Hybrid modality 🖥️ Vacations and personal days 🏝️ Economic support for internet and cell phone line📱 We all own DEUNA| we offer stock options 💸 Multidisciplinary| diverse and dynamic team 🧡 Be part of a dynamic team that's transforming the e-commerce landscape in LATAM.
Desarrollador Front-End,KI Talent Solution,Buenos Aires| Provincia de Buenos Aires| Argentina,Hace 2 días,Más de 200 solicitudes,https://ar.linkedin.com/jobs/view/desarrollador-front-end-at-ki-talent-solution-4150375711?position=7&pageNum=0&refId=HJFNPc3DTL%2BhrdiFT6Zncw%3D%3D&trackingId=YSr16SfcS4nIrTYY9TA7Mw%3D%3D,🚀 Buscamos Desarrollador Front-End con enfoque en Seguridad y Gestión de Roles 🎯 Si te apasiona crear interfaces intuitivas y funcionales| y además tienes experiencia en seguridad de front-end| ¡esta oportunidad es para vos! Buscamos alguien con espiritu emprendedor para trabajar en un gran proyecto. 🔍 ✔️ Desarrollar interfaces en (preferentemente Svelte). ✔️ Implementar autenticación y gestión de usuarios con . ✔️ Crear espacios diferenciados según el tipo de usuario y tableros de administración para gestionar roles y permisos. ✔️ Integrar de forma elegante tableros de sin afectar la experiencia del usuario. ✔️ Consumir APIs REST y garantizar buenas prácticas de seguridad (CSRF| CORS| JWT| etc.). Requisitos 🎯 ✅ Experiencia con . ✅ Conocimientos en manejo de estado (Svelte Stores| Runes| Redux| Zustand). ✅ Experiencia con o frameworks similares. ✅Experiencia con testing de interfaces (Cypress| Jest| etc.). ✅ Familiaridad con buenas prácticas de seguridad en el front-end (CSRF| CORS| JWT| etc.) ✅ Habilidad para diseñar y documentar flujos de autenticación y permisos. ✅ Proactividad y buena comunicación con el equipo de backend y UX/UI. ✅Proactividad y autonomía para proponer soluciones técnicas. ✅ Buena comunicación y mentalidad orientada a la seguridad y privacidad de los datos. Beneficios 💼 🔹 – Contractor 🔹 Inicio en 🔹 Proyecto con enfoque en → Más información en inteligencialegal .com .ar Si te interesa| escribime o compartilo con alguien a quien pueda interesarle. ¡Súmate al desafío! 💡🔥 Bienvenidos a ✨| una startup disruptiva en el mundo de los recursos humanos| diseñada para transformar la manera en que las empresas y los talentos se conectan. Inspirados por el concepto oriental de | ✨ que representa la fuerza vital del universo| nuestro objetivo es canalizar esa energía hacia la creación de soluciones innovadoras y personalizadas en gestión de talento. 🚀 IT & Data 💡Operaciones / Industria 📈Business / Marketing 🌐 People & Culture ⚙ Sales & Products Sumate a una nueva comunidad de Talento| donde lo mas importante es el equilibrio de tu búsqueda
