title,company,location,published,applicants,url,description
,,,,,https://linkedin.com/jobs/view/4161438687,The role is about: In the Open Banking Team| you will be part of a team of experts| their sole mission is to ensure that our Banking services are running smoothly and solving real life problems. The Open Banking team will kick-start our Open Banking journey - As part of this team you are expected to solve problems with sustainable solutions and with scalability in mind. 1️⃣ A 30-40 minute conversation with our Talent Acquisition team to discuss your experience| career goals| and expectations. 2️⃣ A take-home test designed to showcase your skills. You'll have up to 5 days to complete it in a single attempt (estimated time: 90-180 minutes). 3️⃣ Our technical experts will review your assignment and invite you for a live coding challenge to assess your problem-solving and coding abilities (60-90 minutes). 4️⃣ A 45-60 minute discussion focused on team fit and collaboration with our Product Lead and CTO. This is your chance to dive deeper into our culture and align on expectations.
,,,,,https://linkedin.com/jobs/view/4151650363,What is Super Payments? Our mission is to power free payments forever and everywhere for businesses| and more rewarding shopping for customers so that everyone wins. By making payments free and then passing on the savings to customers we are disrupting the payments industry while increasing sales and customer loyalty. We are growing fast| with 1|000+ businesses and 400|000+ customers using our service| and revolutionising traditional payment companies with a unique| 10x better proposition. Led by former CEO of Funding Circle| Samir Desai| we have raised over $30m of funding from leading venture capital and angel investors including Accel| Union Square Ventures and Localglobe and high profile angels. - Our culture is our DNA. it defines our mission| our goals| how we operate and communicate on a day to day basis| and how we attract and hire great talent: Everything begins here. We only succeed if consumers and retailers succeed. Build| iterate and learn quickly - always think of the automated solution first. . Think big| start small and power through problems to get it done. Build open| honest and respectful relationships with each other. Great work cannot be achieved alone. Bring the humility and leave the ego at the door. We leverage the latest tools and technologies to create a seamless| customer-centric digital experience. Our core stack is built around Node.js| TypeScript| and NestJS| with a front-end powered by React. We deploy using AWS cloud services and Kubernetes| ensuring scalability and resilience. Infrastructure as Code is fundamental to our approach| and we use Terraform to manage our cloud resources. Our architecture is cloud-native| event-driven| and distributed| built on Amazon EventBridge and SQS| with services exposed via REST. We are driven by data science| machine learning| and analytics| using multi-variant testing to personalise user experiences across every digital channel. However| it's not just about the technology. We are passionate about continuous delivery| automation| and rapid iteration. Our deployment pipeline is fully automated| covering everything from branching| building| testing| and shipping to monitoring and alerting—allowing us to focus on delivering value to our customers. Technology is at the heart of our business| and we value diverse perspectives. Bring your ideas| experience| and problem-solving mindset—we'll navigate obstacles together. We'd love to hear from you if you: If you are excited about sharing the adventure| joining a growing team with big ambitions and you are really great at what you do| then apply now!
,,,,,https://linkedin.com/jobs/view/4089968781,With Intelligence is looking for Backend Leads to join our talented and collaborative engineering team. We're currently scaling up our product base| leveraging the advances in data technology| AI and ML in order to transform our ecosystem into a fluid| event-based and decoupled offering. We're bringing best-of-breed technology options into our mix to ensure we're well-positioned to give our proprietary data the platform it needs to shine. We're building up multiple squads for a London-based technology team to spearhead these advances. This is a chance to bring your foundational developer experience and fold in some of the latest technologies and patterns| to stay on the cutting edge of where data-driven product offerings are headed| serving data to interfaces and APIs in scalable| reliable and innovative ways. As a Technical Backend Lead| you'd be spending your time mastering a broad array of our backend services| in order to coordinate and assist as multiple BE developers collaborate on specific services to push out features across the stack. There will also be regular opportunity to roll up your sleeves and deliver functionality yourself. You will work in a cross-functional team (React| Node| Python and PHP developers) to deliver high-quality software solutions. You'll also regularly be 'stepping back' from the codebase and measuring and influencing service health| code quality| roadmap and debt-paydown priorities. In this role| you will have the opportunity to lead and drive technical decisions| influence the technical roadmap| and contribute to the growth and success of the backend team. You will be working in an agile environment| using modern backend technologies and frameworks. With Intelligence is based at One London Wall| London EC2Y 5EA. We offer amazing benefits| free breakfast daily and drinks provided all day| every day. We actively encourage social networks that oversee activities from sports| book reading to rock climbing| that you are free to join. As part of our company| you will enjoy the benefits of an open plan office and working with a social and energetic team. With Intelligence provides exclusive editorial| research| data and events for senior executives within the asset management industry. These include hedge funds| private credit| private equity| real estate and traditional asset management| and our editorial brands are seen as market leaders in providing asset manager sales and IR execs with the actionable information they require to help them raise and retain assets. To maintain and grow our position in the market we need to continue to hire highly motivated| thoughtful and to ensure our subscribers are getting the exclusive intelligence they need first| and most comprehensively| through our range of services. If you are interested so far in what you have read| please apply| we look forward to hearing from you.
,,,,,https://linkedin.com/jobs/view/4168427024,About Visibly ✌️ We are a fast-moving| seed-stage startup revolutionising how public infrastructure companies improve worker compliance to build a safer physical world for the future. Education for deskless workers worldwide faces two critical challenges: entire industries still rely on spreadsheets to track knowledge and skill gaps| while outdated| mind-numbing PowerPoint presentations remain the go-to method for training. While this situation is far from ideal| it presents a unique opportunity to reimagine compliance management and education from the ground up| for over a billion deskless workers. That's where you come in!! As a | you'll be a key contributor in building a product that compliance managers and workers love. You'll work closely with product| sales| and your fellow engineers to bring our product vision to life. In this role| you will balance pragmatism and engineering best practices| contributing to the creation of both the frontend and backend of a solution that meets the needs of users and the business. In early 2024| we raised one of Europe's strongest seed rounds from tier 1 investors including Creandum and Seedcamp. Now| with traction building| we need to increase the structure| strategic clarity and momentum in our product development process to deliver more value to customers. If this sounds like you| we'd love to chat! Apply now and help us build something game-changing. We are an equal opportunity employer and celebrate diversity| recognising that diversity of thought and background builds more substantial teams. We welcome applicants from all backgrounds.
,,,,,https://linkedin.com/jobs/view/4161018331,Junior Software Engineer (IoT Data) Up to £40K (DOE) Hybrid (Mon & Tues in office) The company:
Senior NodeJS Engineer,With Intelligence,London| England| United Kingdom,2 weeks ago,Be among the first 25 applicants,https://linkedin.com/jobs/view/4148730636,With Intelligence is looking for Senior NodeJS Developers to join our talented and collaborative engineering team. We're currently scaling up our product base| leveraging the advances in data technology| AI and ML in order to transform our ecosystem into a fluid| event-based and decoupled offering. We're bringing best-of-breed technology options into our mix to ensure we're well-positioned to give our proprietary data the platform it needs to shine.
,,,,,https://linkedin.com/jobs/view/4161009849,Software Engineer - Backend Focused (IoT Data) Up to £60K (DOE) Hybrid (Mon & Tues in office) The company:
,,,,,https://linkedin.com/jobs/view/4036855191,Qualifications Bachelor's or Master's degree in Computer Science or similar (PhDs will be given preference) Scopeworker's software engineers are developing a next generation| enterprise platform. We are looking for engineers who bring fresh ideas from all areas| including information retrieval| distributed computing| large-scale system design| networking and data storage| security| artificial intelligence| natural language processing| UI design and mobile. As a software engineer| you will work on a specific project critical to the Scopeworker platform with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile| display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. With your technical expertise you will manage project priorities| deadlines| and deliverables. You will design| develop| test| deploy| maintain| and enhance Scopeworker's software. Scopeworker is an enterprise SaaS. It digitalizes the Procure-Execute-Pay lifecycle of supplier services for critical infrastructure. The automation enables significant cost| time and quality efficiencies for both buyers and suppliers and enables a live situational awareness of procurement| finance| operations and other stakeholders departments. Scopeworker can be used standalone or as a digital layer over the top of Oracle| SAP or Microsoft Dynamics ERPs. Scopeworker processes billions of dollars of services each year for the Fortune 100. See our explainer video.
Software Engineer,Cathcart Technology,Manchester Area| United Kingdom,3 days ago,53 applicants,https://linkedin.com/jobs/view/4166256064,Software Engineer - Frontend (IoT Data) Up to £60K (DOE) Hybrid (Mon & Tues in office) The company:
,,,,,https://linkedin.com/jobs/view/4148727058,Software Developer - Up to £90|000 - Hybrid (2 days a week in Camden) - First 6 months can be fully remote Overview: I am currently recruiting for a Software Developer for one of my clients who are a global digital marketing and technology agency specialising in online gaming. We are looking for a skilled developer who possesses strong technical skills in PHP| JavaScript and AWS and is comfortable working in a face paced| high transactional environment.
